breed_key,breed_name,source,age_weeks,lay_percentage,egg_weight_grams,egg_mass_grams,feed_intake_grams_per_day,feed_conversion_ratio,liveability_percentage,hen_weight_grams,cumulative_eggs_per_placed_hen,cumulative_egg_kg_per_placed_hen,cumulative_feed_kg_per_placed_hen,cumulative_feed_conversion_ratio
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,18,0.0,0.0,0.0,85,0.00,99.9,1260,0.0,0.0,0.0,0.00
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,19,2.0,43.0,0.9,95,0.00,99.8,1320,0.1,0.0,0.0,0.00
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,20,15.0,45.7,6.8,100,14.83,99.7,1380,1.2,0.1,0.0,0.00
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,21,34.0,47.8,15.8,105,6.65,99.6,1460,3.6,0.2,0.7,4.49
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,22,74.0,49.5,35.6,109,3.07,99.5,1510,8.7,0.4,1.5,3.63
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,23,90.0,50.9,45.4,112,2.47,99.4,1550,15.0,0.7,2.3,3.13
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,24,93.0,52.1,48.4,114,2.36,99.3,1570,21.4,1.1,3.1,2.89
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,25,95.0,53.2,50.6,116,2.29,99.3,1585,28.0,1.4,3.9,2.74
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,26,95.8,54.2,52.2,117,2.24,99.2,1595,34.7,1.8,4.7,2.64
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,27,96.2,55.2,53.4,118,2.21,99.1,1605,41.4,2.1,5.5,2.57
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,28,96.6,56.2,54.5,119,2.17,99.1,1615,48.1,2.5,6.3,2.51
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,29,96.8,57.1,55.5,120,2.16,99.0,1622,54.8,2.9,7.2,2.46
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,30,96.9,58.0,56.2,120,2.14,99.0,1628,61.5,3.3,8.0,2.42
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,31,97.0,58.6,56.7,120,2.12,98.9,1635,68.2,3.7,8.8,2.39
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,32,97.0,58.9,57.1,120,2.10,98.8,1640,74.9,4.1,9.7,2.36
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,33,97.0,59.1,57.3,120,2.09,98.8,1645,81.6,4.5,10.5,2.34
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,34,97.0,59.3,57.5,120,2.09,98.7,1650,88.3,4.9,11.3,2.32
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,35,97.0,59.5,57.7,120,2.08,98.7,1652,95.0,5.3,12.2,2.30
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,36,97.0,59.7,57.9,120,2.07,98.6,1654,101.7,5.7,13.0,2.29
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,37,97.0,59.9,58.1,120,2.07,98.5,1656,108.4,6.1,13.8,2.27
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,38,96.9,60.1,58.2,120,2.06,98.5,1658,115.1,6.5,14.6,2.26
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,39,96.8,60.3,58.4,120,2.06,98.4,1659,121.8,6.9,15.5,2.25
dekalb_white_scharrel_voliere,DEKALB WHITE SCHARREL EN VOLIÈRE,L9120-ic-1 ISA B.V.,40,96.7,60.4,58.4,120,2.06,98.4,1660,128.4,7.3,16.3,2.24
